artist,hottness
Yazoo,0.599356
Jutty Ranx,0.554057
Blue Stahli,0.618823
Zola Jesus,0.626558
Fitz and the Tantrums,0.783611
Hacride,0.51037
Julee Cruise,0.586216
Buck 65,0.56749
Bob Sinclar,0.822471
Balance and Composure,0.605793
Mo' Horizons,0.567906
The Receiving End of Sirens,0.543369
First Aid Kit,0.722646
The Veils,0.58279
Amaryllis,0.643394
Robin,0.765954
Lento,0.487453
Miles Kane,0.615526
donGURALesko,0.605599
Susan Werner,0.472451
Agents,0.51491
Hanzel und Gretyl,0.584298
Ronny Jordan,0.517641
Bloodrock,0.497991
Lights Out Asia,0.56204
The Throbs,0.385909
Guano Apes,0.60053
Warrior,0.483226
Yasmin,0.508696
Kroda,0.485127
Caramell,0.572085
Bad Brains,0.615922
Caesars,0.594849
Emancipator,0.639529
Henry Jackman,0.584631
Arsen Dedić,0.491356
The Avalanches,0.609483
Four Tet,0.649731
Nara Leão,0.564559
Little Feat,0.609769
Gary Puckett & The Union Gap,0.603256
Joachim Rygg,0.462442
Subsignal,0.502162
LAST ALLIANCE,0.450937
Belphegor,0.598533
Billy Talent,0.780771
Dire Straits,0.789188
Professor Kliq,0.544728
Nirvana,0.849709
Bonde do Rolê,0.548316
Massive Attack,0.756621
Procol Harum,0.666569
Goldfrapp,0.686357
Haus Arafna,0.47474
Flёur,0.493164
Ab-Soul,0.641176
Winery Dogs,0.547983
The Bom Chicka Wah Wahs,0.262487
Girls Names,0.655834
Dead Letter Circus,0.571531
Causa Sui,0.49764
Charles Brown,0.542552
Ashley Tisdale,0.618343
Superchunk,0.570434
Orelha Negra,0.571286
7раса,0.467441
The Red Army Choir,0.539761
Evildead,0.436955
Showtek & Justin Prime,0.503251
Wave Machines,0.552138
Alison Krauss & Union Station,0.498908
Satan,0.505567
Johannes Linstead and Nicholas Gunn,0.31124
浜崎あゆみ,0.731635
David Lynch,0.616526
Jaya the Cat,0.572912
Blues Creation,0.439435
Beyond Ye Grave,0.299434
The Searchers,0.575016
Aba,0.483004
Informatik,0.513559
Esteman,0.577848
Dave Koz,0.596828
MNDR,0.590125
Alien Ant Farm,0.622326
Cephalic Carnage,0.558323
Michelle Branch,0.593664
Bachman-Turner Overdrive,0.628265
Suicidal Tendencies,0.626868
Cyne,0.517911
Matt Pond PA,0.575884
Chris Brown,0.921617
Green River,0.514685
Avril Lavigne,0.869797
The Poodles,0.634306
The Field,0.584099
Alexander Scriabin,0.580337
Camille Saint-Saëns,0.607993
Hans Dulfer,0.44796
Moya Brennan,0.50089
Keep Shelly In Athens,0.575271
Henrique & Juliano,0.837222
Red Garland,0.568148
Arckanum,0.537611
Metric,0.701457
Łona,0.503483
Indastria,0.295226
10 000 Maniacs,0.596407
Rezonate,0.586077
The Killers,0.812537
David Bowie,0.82387
Basement Jaxx,0.744963
Jeru the Damaja,0.562514
Jazzanova,0.603393
Alan Silvestri,0.597653
Thousand Foot Krutch,0.64701
Tunng,0.583809
Witchburner,0.429922
Kno,0.470739
Zodiac,0.536622
Orishas,0.596786
A$AP Rocky,0.799943
